SampleID	Sample1	Location	Treatment	Timing	Treated	depth_below_plot_cm	depth_below_ground_cm	Replicate	C	N	Clay	Silt	Sand	Notes	NO3	NO2	DOC	CaCO3	Ca	Cl	K	Mg	Mn	Na	pH	EC	Dissolved_solids	SO4	Fe	As	Pb	Cd	Cr	Zn
160825-KTR-RW-AFTER-DNA-010-2	160825-KTR-RW-AFTER-DNA-010	KTR	WC	After	TRUE	10	110	3	0.67	0.07	15.78	34.4	49.81	"used before clay,silt,sand"	26.2	0	2.8	518	134	93	2.3	154	152	58	7.5	1884	1330	369	0	5	0	0	18	12
160825-KTR-RW-AFTER-DNA-030	160825-KTR-RW-AFTER-DNA-030	KTR	WC	After	TRUE	30	130	1	0.66	0.06	14.91	35.34	49.75	"used before clay,silt,sand"	24.6	0	8.4	522	135	94	2.4	153	171	59	7.5	1880	1380	369	0	4	0	0.5	0	0
160825-KTR-RW-AFTER-DNA-030-1	160825-KTR-RW-AFTER-DNA-030	KTR	WC	After	TRUE	30	130	2	0.66	0.06	14.91	35.34	49.75	"used before clay,silt,sand"	24.6	0	8.4	522	135	94	2.4	153	171	59	7.5	1880	1380	369	0	4	0	0.5	0	0
160825-KTR-RW-AFTER-DNA-030-2	160825-KTR-RW-AFTER-DNA-030	KTR	WC	After	TRUE	30	130	3	0.66	0.06	14.91	35.34	49.75	"used before clay,silt,sand"	24.6	0	8.4	522	135	94	2.4	153	171	59	7.5	1880	1380	369	0	4	0	0.5	0	0
160825-KTR-RW-AFTER-DNA-040	160825-KTR-RW-AFTER-DNA-040	KTR	WC	After	TRUE	40	140	1	0.53	0.05	18.02	38.06	43.92	"used before clay,silt,sand"																				
160825-KTR-RW-AFTER-DNA-060	160825-KTR-RW-AFTER-DNA-060	KTR	WC	After	TRUE	60	160	1	0.9	0.08	16.39	36.91	46.7	"used before clay,silt,sand"	14.9	0	11.1	502	150	93	4.6	137	410	63	7.3	1812	1305	358	92	5	0	0	2	0
160825-KTR-RW-AFTER-DNA-080	160825-KTR-RW-AFTER-DNA-080	KTR	WC	After	TRUE	80	180	1	0.58	0.05	15.65	30.57	53.78	"used before clay,silt,sand"																				
160825-KTR-RW-AFTER-DNA-090	160825-KTR-RW-AFTER-DNA-090	KTR	WC	After	TRUE	90	190	1	0.5	0.05	12.56	28.31	59.14	"used 100cm depth C,N, and before clay,silt,sand "																				
180620-KTYA-PLOT1-BEFORE-010	180620-KTYA-P1-BEFORE-010	KTYA	NS	Before	FALSE	10	110	1	0.11	0.02	5.64	7.44	86.92																					
180620-KTYA-P1-BEFORE-010-1	180620-KTYA-P1-BEFORE-010	KTYA	NS	Before	FALSE	10	110	2	0.11	0.02	5.64	7.44	86.92																					
180620-KTYA-PLOT1-BEFORE-030	180620-KTYA-P1-BEFORE-030	KTYA	NS	Before	FALSE	30	130	1	0.09	0.01	5.22	7.93	86.85																					
180620-KTYA-P1-BEFORE-030-1	180620-KTYA-P1-BEFORE-030	KTYA	NS	Before	FALSE	30	130	2	0.09	0.01	5.22	7.93	86.85																					
180620-KTYA-PLOT1-BEFORE-060	180620-KTYA-P1-BEFORE-060	KTYA	NS	Before	FALSE	60	160	1	0.06	0.01	4.53	8.17	87.3																					
180620-KTYA-P1-BEFORE-060-1	180620-KTYA-P1-BEFORE-060	KTYA	NS	Before	FALSE	60	160	2	0.06	0.01	4.53	8.17	87.3																					
180620-KTYA-PLOT1-BEFORE-080	180620-KTYA-P1-BEFORE-080	KTYA	NS	Before	FALSE	80	180	1	0.04	0.01	4.43	4.75	90.83																					
180620-KTYA-P1-BEFORE-080-1	180620-KTYA-P1-BEFORE-080	KTYA	NS	Before	FALSE	80	180	2	0.04	0.01	4.43	4.75	90.83																					
180620-KTYA-PLOT2-BEFORE-010	180620-KTYA-P2-BEFORE-010	KTYA	WC	Before	FALSE	10	110	1	0.1	0.01	5.45	6.43	88.12																					
180620-KTYA-P2-BEFORE-010-1	180620-KTYA-P2-BEFORE-010	KTYA	WC	Before	FALSE	10	110	2	0.1	0.01	5.45	6.43	88.12																					
180620-KTYA-PLOT2-BEFORE-030	180620-KTYA-P2-BEFORE-030	KTYA	WC	Before	FALSE	30	130	1	0.08	0.01	6.13	8.33	85.54																					
180620-KTYA-P2-BEFORE-030-1	180620-KTYA-P2-BEFORE-030	KTYA	WC	Before	FALSE	30	130	2	0.08	0.01	6.13	8.33	85.54																					
180620-KTYA-PLOT2-BEFORE-060	180620-KTYA-P2-BEFORE-060	KTYA	WC	Before	FALSE	60	160	1	0.07	0.01	5.64	7.97	86.39																					
180620-KTYA-P2-BEFORE-060-1	180620-KTYA-P2-BEFORE-060	KTYA	WC	Before	FALSE	60	160	2	0.07	0.01	5.64	7.97	86.39																					
180620-KTYA-PLOT2-BEFORE-080	180620-KTYA-P2-BEFORE-080	KTYA	WC	Before	FALSE	80	180	1	0.07	0.01	2.33	3.97	93.7																					
180620-KTYA-P2-BEFORE-080-1	180620-KTYA-P2-BEFORE-080	KTYA	WC	Before	FALSE	80	180	2	0.07	0.01	2.33	3.97	93.7																					
180620-KTYA-PLOT3-BEFORE-010	180620-KTYA-P3-BEFORE-010	KTYA	MX	Before	FALSE	10	110	1	0.2	0.02	4.93	5.87	89.19																					115
180620-KTYA-P3-BEFORE-010-1	180620-KTYA-P3-BEFORE-010	KTYA	MX	Before	FALSE	10	110	2	0.2	0.02	4.93	5.87	89.19																					115
180620-KTYA-PLOT3-BEFORE-030	180620-KTYA-P3-BEFORE-030	KTYA	MX	Before	FALSE	30	130	1	0.1	0.01	4.95	6.2	88.86																					0
